id,name,price,original_price,discount_rate,rating_average,review_count,quantity_sold,brand,category,url_key
277615985,Pin sạc di động 10000mAh Mi Power Bank 3 Ultra Compact | 2*USB-A / 1*USB-C Upto 22.5W | BHR4412GL | Bảo hành 6 tháng | Hàng Chính Hãng,319000,319000,0,4.0,4,11,Xiaomi,Thiết Bị Số - Phụ Kiện Số,pin-sac-di-dong-10000mah-mi-power-bank-3-ultra-compact-2-usb-a-1-usb-c-upto-22-5w-bhr4412gl-bao-hanh-6-thang-hang-chinh-hang-p277615985
10920495,Sách Dế Mèn Phiêu Lưu Ký,141000,150000,6,5.0,49,350,No Brand,Văn học thiếu nhi,sach-de-men-phieu-luu-ky-p10920495
278527124,Nồi quánh inox có tay cầm Tsubame,455500,455500,0,5.0,1,1,Pearl Metal,Nhà Cửa - Đời Sống,noi-quanh-inox-co-tay-cam-tsubame-p278527124
276129609,Áo sơ mi sọc phối nơ sau xinh xắn,135000,135000,0,0.0,0,0,OEM,Thời trang nữ,ao-so-mi-soc-phoi-no-sau-xinh-xan-p276129609
274170471,Con Đường Chẳng Mấy Ai Đi,123700,165000,25,5.0,61,977,No Brand,Root,con-duong-chang-may-ai-di-p274170471
278720025,Bếp Từ Đơn Tân Á Đại Thành Rossi RS-1020CE01 Kèm Nồi - Hàng Chính Hãng ,990000,1490000,34,0.0,0,2,Tân Á Đại Thành,Điện Gia Dụng,bep-tu-don-tan-a-dai-thanh-rossi-rs-1020ce01-kem-noi-hang-chinh-hang-p278720025
242742124,"Ugreen 90416 Màu Đen Micro để bàn cổng kết nối USB có kèm nút chỉnh tăng , giảm âm lượng CM564 - Hàng chính hãng",401000,401000,0,0.0,0,5,UGREEN,Root,ugreen-90416-mau-den-micro-de-ban-cong-ket-noi-usb-co-kem-nut-chinh-tang-giam-am-luong-cm564-hang-chinh-hang-p242742124
272368319,"Đèn rọi KZJ 9W, 12W, 15W chỉnh tiêu cự 3 chế độ màu chiếu điểm bể thủy sinh bán cạn",332000,332000,0,0.0,0,5,KZJ,Bách Hóa Online,den-roi-kzj-9w-12w-15w-chinh-tieu-cu-3-che-do-mau-chieu-diem-be-thuy-sinh-ban-can-p272368319
213678718,LEGO Superheores 76247 Chiến Giáp Hulk Buster (385 Chi Tiết),2099000,2099000,0,0.0,0,0,LEGO,Root,lego-superheores-76247-chien-giap-hulk-buster-385-chi-tiet-p213678718
278686453,Đồ chơi - QMAN - 42114 Bộ đồ chơi xếp hình mô hình Mô tô thể thao (KT 31.5 x 19 x 5cm),200000,200000,0,0.0,0,0,LEO & FRIENDS,"Lắp ghép, Xếp hình",do-choi-qman-42114-bo-do-choi-xep-hinh-mo-hinh-mo-to-the-thao-kt-31-5-x-19-x-5cm-p278686453
